station_id,pref,station_name,temp,lat,lon
17036,北海道網走・北見・紋別地方,雄武（オウム）,1.4,44.58,142.96333333333334
17076,北海道網走・北見・紋別地方,興部（オコッペ）,1.5,44.47,143.10833333333332
17091,北海道網走・北見・紋別地方,西興部（ニシオコッペ）,2.0,44.33166666666666,142.935
17112,北海道網走・北見・紋別地方,紋別（モンベツ）,1.2,44.345,143.355
17116,北海道網走・北見・紋別地方,紋別小向（モンベツコムカイ）,1.2,44.303333333333335,143.40333333333334
17166,北海道網走・北見・紋別地方,湧別（ユウベツ）,0.9,44.21333333333333,143.61833333333334
17196,北海道網走・北見・紋別地方,滝上（タキノウエ）,4.3,44.17666666666667,143.06166666666667
17246,北海道網走・北見・紋別地方,常呂（トコロ）,0.2,44.115,144.03666666666666
17306,北海道網走・北見・紋別地方,遠軽（エンガル）,2.5,44.053333333333335,143.54
17316,北海道網走・北見・紋別地方,佐呂間（サロマ）,1.6,44.01833333333333,143.76
17341,北海道網走・北見・紋別地方,網走（アバシリ）,0.9,44.016666666666666,144.27833333333334
17351,北海道網走・北見・紋別地方,宇登呂（ウトロ）,-0.8,44.05166666666667,144.98166666666665
17482,北海道網走・北見・紋別地方,白滝（シラタキ）,3.6,43.865,143.15333333333334
17501,北海道網走・北見・紋別地方,生田原（イクタハラ）,2.9,43.916666666666664,143.53166666666667
17521,北海道網走・北見・紋別地方,北見（キタミ）,2.9,43.776666666666664,143.84166666666667
17531,北海道網走・北見・紋別地方,女満別（メマンベツ）,1.8,43.88,144.16333333333333
17546,北海道網走・北見・紋別地方,小清水（コシミズ）,0.7,43.84166666666667,144.485
17561,北海道網走・北見・紋別地方,斜里（シャリ）,0.1,43.885,144.7
17596,北海道網走・北見・紋別地方,留辺蘂（ルベシベ）,4.5,43.74166666666667,143.45
17607,北海道網走・北見・紋別地方,境野（サカイノ）,3.7,43.70666666666666,143.64333333333335
17631,北海道網走・北見・紋別地方,美幌（ビホロ）,1.3,43.77,144.17166666666665
17717,北海道網走・北見・紋別地方,津別（ツベツ）,2.2,43.70166666666667,144.03333333333333
18038,北海道根室地方,羅臼（ラウス）,4.3,44.02333333333333,145.18666666666667
18136,北海道根室地方,標津（シベツ）,3.6,43.66166666666667,145.13166666666666
18161,北海道根室地方,上標津（カミシベツ）,2.4,43.52,144.74666666666667
