,Date,MSLP,Prcp,Tc,RH,WS
105,2021-04-16,1020.7,0.0,15.8,50.0,5.9
106,2021-04-17,1012.6,19.0,13.5,89.0,2.7
107,2021-04-18,1007.4,13.0,9.8,77.0,5.2
108,2021-04-19,1014.3,0.0,13.0,58.0,3.1
109,2021-04-20,1017.5,0.0,15.9,56.0,4.4
110,2021-04-21,1023.7,0.0,13.1,68.0,2.2
111,2021-04-22,1023.2,0.0,13.4,57.0,2.5
112,2021-04-23,1022.3,0.0,11.9,73.0,2.8
113,2021-04-24,1019.3,0.0,13.9,77.0,2.0
114,2021-04-25,1018.0,0.0,12.7,69.0,4.2
115,2021-04-26,1022.9,0.0,8.9,57.0,4.5
116,2021-04-27,1021.9,0.0,12.3,55.0,2.4
117,2021-04-28,1018.3,11.5,17.1,67.0,4.5
118,2021-04-29,1009.1,71.0,12.7,98.0,3.1
119,2021-04-30,1005.5,3.0,14.7,73.0,3.1
120,2021-05-01,1003.7,12.5,14.4,70.0,4.0
121,2021-05-02,1006.2,16.5,10.9,82.0,3.4
122,2021-05-03,1017.3,0.0,12.4,72.0,3.5
123,2021-05-04,1017.1,0.0,16.8,52.0,2.9
124,2021-05-05,1012.1,14.5,17.7,68.0,5.9
125,2021-05-06,1017.4,0.0,17.6,63.0,2.2
126,2021-05-07,1009.7,0.0,18.3,58.0,3.3
127,2021-05-08,1005.9,0.0,19.8,56.0,3.9
128,2021-05-09,1006.4,2.5,18.6,54.0,5.2
129,2021-05-10,1013.3,0.0,15.8,51.0,3.1
130,2021-05-11,1017.3,0.0,15.5,67.0,2.8
131,2021-05-12,1017.5,0.0,14.6,70.0,1.9
132,2021-05-13,1013.2,0.0,18.0,71.0,2.3
133,2021-05-14,1014.0,0.0,19.0,70.0,2.2
134,2021-05-15,1013.1,0.0,21.7,67.0,3.1
135,2021-05-16,1008.3,10.5,22.2,62.0,8.3
136,2021-05-17,1004.8,79.5,19.3,95.0,2.7
137,2021-05-18,1011.1,1.5,15.2,95.0,1.9
138,2021-05-19,1012.0,1.5,17.3,92.0,1.3
139,2021-05-20,1011.5,21.5,16.4,93.0,2.0
140,2021-05-21,1003.7,33.5,18.5,87.0,4.0
141,2021-05-22,1006.2,1.0,18.4,75.0,5.0
142,2021-05-23,1009.5,0.0,18.8,75.0,3.4
143,2021-05-24,1007.3,0.0,20.0,74.0,2.4
144,2021-05-25,1005.8,11.0,18.8,78.0,2.8
145,2021-05-26,1011.3,0.0,17.8,57.0,3.0
146,2021-05-27,1003.8,10.5,15.8,86.0,2.2
147,2021-05-28,1004.1,0.0,21.4,64.0,3.7
148,2021-05-29,1003.9,0.0,19.8,68.0,5.7
149,2021-05-30,1010.4,0.0,17.6,74.0,2.5
150,2021-05-31,1013.9,0.0,17.1,77.0,3.0
151,2021-06-01,1016.4,0.0,17.4,81.0,2.4
152,2021-06-02,1016.7,0.0,20.4,73.0,2.1
153,2021-06-03,1010.4,0.0,22.4,66.0,2.6
154,2021-06-04,999.5,31.5,20.8,82.0,4.3
155,2021-06-05,1004.3,0.0,21.0,62.0,2.3
156,2021-06-06,1008.8,0.0,22.5,53.0,2.9
157,2021-06-07,1014.3,0.0,23.4,65.0,2.0
158,2021-06-08,1015.5,,21.9,67.0,2.2
159,2021-06-09,1017.6,,20.4,81.0,2.4
160,2021-06-10,1018.0,0.0,22.1,80.0,2.1
161,2021-06-11,1016.0,0.0,24.6,59.0,3.5
162,2021-06-12,1015.3,0.0,25.0,57.0,2.9
163,2021-06-13,1011.6,5.5,21.5,87.0,1.9
164,2021-06-14,1007.9,10.5,21.4,91.0,2.3
165,2021-06-15,1006.9,0.0,21.7,85.0,3.0
166,2021-06-16,1006.3,0.0,21.6,85.0,2.5
167,2021-06-17,1006.2,1.0,21.6,86.0,2.6
168,2021-06-18,1003.7,0.0,22.4,79.0,2.0
169,2021-06-19,1000.1,42.0,20.8,94.0,1.5
170,2021-06-20,1002.5,0.0,21.2,82.0,2.4
171,2021-06-21,1004.7,0.0,20.9,77.0,2.2
172,2021-06-22,1008.1,0.0,22.4,74.0,3.3
173,2021-06-23,1011.0,0.0,21.6,78.0,2.1
174,2021-06-24,1012.4,0.0,22.0,78.0,2.5
175,2021-06-25,1012.6,0.5,22.1,83.0,2.2
176,2021-06-26,1012.6,0.0,24.0,75.0,2.2
177,2021-06-27,1009.6,5.0,22.2,90.0,1.5
178,2021-06-28,1005.5,0.0,22.8,84.0,2.4
179,2021-06-29,1004.3,6.0,22.9,87.0,2.1
180,2021-06-30,1009.4,0.0,24.3,82.0,2.1
181,2021-07-01,1008.6,2.5,25.8,74.0,2.1
182,2021-07-02,1008.0,3.0,25.5,82.0,1.9
183,2021-07-03,1009.9,0.5,25.3,86.0,2.1
184,2021-07-04,1010.1,10.0,25.5,86.0,2.3
185,2021-07-05,1010.4,46.5,24.7,88.0,2.8
186,2021-07-06,1010.0,10.5,23.9,91.0,2.3
187,2021-07-07,1008.6,6.5,24.4,88.0,2.3
188,2021-07-08,1007.5,12.5,23.1,96.0,1.4
189,2021-07-09,1006.6,42.0,24.4,95.0,1.4
190,2021-07-10,1009.7,4.0,26.1,84.0,2.5
191,2021-07-11,1011.9,37.5,24.7,90.0,2.0
192,2021-07-12,1011.7,6.0,25.5,82.0,2.4
193,2021-07-13,1013.0,0.0,25.8,80.0,2.2
194,2021-07-14,1014.8,1.5,25.5,83.0,2.5
195,2021-07-15,1017.3,22.5,24.8,85.0,2.0
196,2021-07-16,1018.3,0.0,25.7,82.0,2.0
197,2021-07-17,1016.2,0.0,27.1,80.0,2.3
198,2021-07-18,1014.9,0.0,28.0,78.0,2.4
199,2021-07-19,1015.5,0.0,28.5,76.0,2.5
200,2021-07-20,1015.0,0.0,28.1,78.0,2.7
201,2021-07-21,1014.1,0.0,27.8,80.0,2.7
202,2021-07-22,1012.3,0.0,28.1,79.0,2.8
203,2021-07-23,1010.7,0.0,28.4,77.0,2.5
204,2021-07-24,1010.1,0.0,28.5,76.0,2.5
205,2021-07-25,1009.1,0.0,29.0,73.0,2.4
206,2021-07-26,1005.4,0.0,28.6,76.0,2.9
207,2021-07-27,1000.9,5.5,25.5,86.0,1.7
208,2021-07-28,1001.0,1.0,26.8,81.0,2.6
209,2021-07-29,1001.9,7.5,27.5,78.0,2.4
210,2021-07-30,1001.8,0.0,27.9,74.0,2.4
211,2021-07-31,1002.4,0.0,27.9,77.0,2.9
212,2021-08-01,1002.8,0.0,28.9,71.0,2.7
213,2021-08-02,1006.2,0.0,30.0,63.0,3.9
214,2021-08-03,1009.5,0.0,30.5,68.0,2.4
215,2021-08-04,1010.4,0.0,31.0,66.0,3.0
216,2021-08-05,1007.1,0.0,29.9,77.0,2.7
217,2021-08-06,1004.6,0.0,30.2,76.0,2.6
218,2021-08-07,1003.8,1.0,29.1,76.0,2.5
219,2021-08-08,1002.6,23.0,28.2,82.0,2.8
220,2021-08-09,992.2,20.5,28.4,78.0,4.2
221,2021-08-10,1005.3,43.0,24.9,90.0,3.9
222,2021-08-11,1012.8,0.0,25.6,83.0,2.5
223,2021-08-12,1011.7,34.0,24.2,92.0,1.5
224,2021-08-13,1008.1,74.5,22.0,98.0,1.8
225,2021-08-14,1006.2,50.0,21.8,97.0,1.7
226,2021-08-15,1011.3,19.0,23.2,86.0,2.3
227,2021-08-16,1015.4,0.0,24.0,83.0,2.1
228,2021-08-17,1011.4,31.5,22.7,96.0,1.7
229,2021-08-18,1010.2,3.5,24.3,91.0,2.1
230,2021-08-19,1013.5,0.0,27.0,71.0,3.0
231,2021-08-20,1015.9,2.0,27.0,77.0,2.1
232,2021-08-21,1013.6,0.0,28.3,69.0,2.9
233,2021-08-22,1010.6,1.0,29.3,67.0,3.8
234,2021-08-23,1011.2,0.5,27.8,77.0,2.7
235,2021-08-24,1008.3,10.0,25.7,81.0,2.6
236,2021-08-25,1009.4,9.5,27.3,81.0,3.2
237,2021-08-26,1012.7,0.0,29.2,74.0,3.2
238,2021-08-27,1013.4,0.0,27.8,74.0,2.8
239,2021-08-28,1012.9,0.0,26.8,74.0,3.2
240,2021-08-29,1013.4,0.0,27.0,74.0,1.7
241,2021-08-30,1014.2,10.5,26.7,79.0,2.4
242,2021-08-31,1015.4,0.0,25.8,77.0,2.0
243,2021-09-01,1011.9,37.5,21.6,91.0,1.9
244,2021-09-02,1008.4,27.5,22.5,86.0,3.1
245,2021-09-03,1009.3,13.5,22.3,88.0,1.4
246,2021-09-04,1012.0,1.5,22.1,93.0,1.7
247,2021-09-05,1015.5,2.0,23.3,88.0,1.8
248,2021-09-06,1015.9,0.0,22.4,82.0,2.8
249,2021-09-07,1013.9,0.0,22.8,70.0,2.3
250,2021-09-08,1009.8,24.0,23.0,74.0,5.8
251,2021-09-09,1012.8,20.0,24.5,78.0,2.8
252,2021-09-10,1014.1,0.0,23.4,83.0,1.8
253,2021-09-11,1012.9,0.5,23.8,82.0,1.8
254,2021-09-12,1013.1,0.0,22.9,81.0,2.0
255,2021-09-13,1018.5,0.0,22.5,73.0,2.9
256,2021-09-14,1017.3,0.0,21.5,76.0,1.7
257,2021-09-15,1015.1,0.0,22.4,78.0,3.4
258,2021-09-16,1014.2,0.0,22.6,77.0,1.9
259,2021-09-17,1010.7,0.0,25.2,65.0,3.7
260,2021-09-18,1007.9,9.5,22.8,93.0,2.7
261,2021-09-19,1013.7,0.5,23.7,75.0,6.1
262,2021-09-20,1015.5,0.0,23.6,76.0,2.4
263,2021-09-21,1011.9,0.0,25.7,68.0,3.0
264,2021-09-22,1009.5,18.0,24.3,77.0,4.0
265,2021-09-23,1014.3,0.0,23.2,69.0,3.8
266,2021-09-24,1020.6,0.0,21.7,74.0,4.1
267,2021-09-25,1022.8,0.0,21.3,76.0,2.7
268,2021-09-26,1019.8,22.0,20.2,91.0,1.7
269,2021-09-27,1016.4,0.0,21.5,81.0,2.2
270,2021-09-28,1015.0,0.0,23.1,74.0,1.9
